id,Name,Type 1,Type 2,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
6,Charizard,Fire,Flying,78,84,78,109,85,100,1,False
6,CharizardMega Charizard X,Fire,Dragon,78,130,111,130,85,100,1,False
6,CharizardMega Charizard Y,Fire,Flying,78,104,78,159,115,100,1,False
38,Ninetales,Fire,,73,76,75,81,100,100,1,False
78,Rapidash,Fire,,65,100,70,80,80,105,1,False
157,Typhlosion,Fire,,78,84,78,109,85,100,2,False
244,Entei,Fire,,115,115,85,90,75,100,2,True
255,Torchic,Fire,,45,60,40,70,50,45,3,False
256,Combusken,Fire,Fighting,60,85,60,85,60,55,3,False
257,Blaziken,Fire,Fighting,80,120,70,110,70,80,3,False
257,BlazikenMega Blaziken,Fire,Fighting,80,160,80,130,80,100,3,False
322,Numel,Fire,Ground,60,60,40,65,45,35,3,False
323,Camerupt,Fire,Ground,70,100,70,105,75,40,3,False
323,CameruptMega Camerupt,Fire,Ground,70,120,100,145,105,20,3,False
324,Torkoal,Fire,,70,85,140,85,70,20,3,False
392,Infernape,Fire,Fighting,76,104,71,104,71,108,4,False
514,Simisear,Fire,,75,98,63,98,63,101,5,False
655,Delphox,Fire,Psychic,75,69,72,114,100,104,6,False
663,Talonflame,Fire,Flying,78,81,71,74,69,126,6,False
668,Pyroar,Fire,Normal,86,68,72,109,66,106,6,False
